index_code.string(),date.date(2006-01-02),open.double(),close.double(),low.double(),high.double(),volume.double(),money.double(),change.double()
sz399905,2016-07-05,6244.39,6269.5,6226.29,6276.82,10792880000.0,1.3687496e+11,0.00603670160529
sz399905,2016-07-04,6079.58,6231.88,6078.63,6240.6,10007819100.0,1.2565274e+11,0.0196906180766
sz399905,2016-07-01,6133.72,6111.54,6095.85,6163.42,7381443300.0,96454340000.0,-0.00195150151303
sz399905,2016-06-30,6127.99,6123.49,6090.9,6143.23,7729966100.0,1.0344261e+11,0.000537564131891
sz399905,2016-06-29,6130.58,6120.2,6100.08,6145.0,9305521800.0,1.2177535e+11,0.00207776982764
sz399905,2016-06-28,6018.91,6107.51,6012.05,6111.07,9495272300.0,1.2768293e+11,0.0104711608777
sz399905,2016-06-27,5864.73,6044.22,5864.61,6044.32,8404790700.0,1.1158601e+11,0.0238158960096
sz399905,2016-06-24,5967.52,5903.62,5748.84,6011.37,9841986800.0,1.2550797e+11,-0.0124703713678
sz399905,2016-06-23,5998.67,5978.17,5933.68,6015.18,7797955600.0,1.0360437e+11,-0.00511076939463
sz399905,2016-06-22,5901.15,6008.88,5895.91,6009.06,7241714500.0,93026460000.0,0.0155624661979
sz399905,2016-06-21,6023.92,5916.8,5888.36,6053.41,8814068600.0,1.1873071e+11,-0.0114892984294
sz399905,2016-06-20,5965.82,5985.57,5908.48,5995.0,7453014500.0,1.0049197e+11,0.00357126689436
sz399905,2016-06-17,5937.32,5964.27,5918.19,6002.62,8906684100.0,1.1815231e+11,0.00568750906326
sz399905,2016-06-16,5945.49,5930.54,5909.69,5979.12,9603146000.0,1.3339713e+11,-0.00374778467457
sz399905,2016-06-15,5701.39,5952.85,5692.81,5972.85,9087860500.0,1.2243453e+11,0.0329859303528
sz399905,2016-06-14,5723.99,5762.76,5700.52,5778.85,6203270400.0,81369910000.0,0.00284001921189
sz399905,2016-06-13,5943.73,5746.44,5746.0,5992.33,8713985700.0,1.1781031e+11,-0.0460566943565
sz399905,2016-06-08,6037.41,6023.88,5972.74,6058.18,7349816300.0,1.0210552e+11,-0.00355313827464
sz399905,2016-06-07,6048.32,6045.36,6010.35,6052.05,6959825800.0,95045440000.0,-0.0010740499615
sz399905,2016-06-06,6051.95,6051.86,6008.92,6067.46,7355282000.0,1.021193e+11,0.00319265325067
sz399905,2016-06-03,6016.95,6032.6,5992.32,6062.14,8484351400.0,1.1759851e+11,0.00311113106492
sz399905,2016-06-02,5961.71,6013.89,5955.35,6014.61,8124530800.0,1.0878202e+11,0.00671434167311
sz399905,2016-06-01,5957.18,5973.78,5949.64,6013.9,9451398700.0,1.3068357e+11,0.00444906277113
sz399905,2016-05-31,5721.83,5947.32,5721.83,5947.43,9523807200.0,1.239031e+11,0.0413232690924
sz399905,2016-05-30,5706.0,5711.31,5655.63,5764.76,4888800300.0,65125800000.0,-0.00492718120981
