index_code.string(),date.date(2006-01-02),open.double(),close.double(),low.double(),high.double(),volume.double(),money.double(),change.double()
sh000046,2009-08-12,3177.29,3042.42,3035.41,3177.29,6449556600.0,80631678717.0,-0.0446817509717
sh000046,2009-08-11,3183.46,3184.72,3138.9,3193.58,5136870600.0,65786407048.0,0.00372244802251
sh000046,2009-08-10,3184.41,3172.91,3110.85,3209.08,6253574000.0,80989601990.0,0.00652626510029
sh000046,2009-08-07,3243.99,3152.34,3136.86,3269.02,7863085200.0,99334795827.0,-0.0298578980833
sh000046,2009-08-06,3277.08,3249.36,3197.23,3313.52,9151399300.0,1.16851e+11,-0.0164738372727
sh000046,2009-08-05,3310.69,3303.78,3244.25,3329.66,10039482300.0,1.25796e+11,-0.00334733082344
sh000046,2009-08-04,3285.3,3314.88,3236.5,3315.59,11109962200.0,1.38192e+11,0.0120145588831
sh000046,2009-08-03,3219.08,3275.53,3199.55,3276.9,10400295400.0,1.26669e+11,0.0223970439835
sh000046,2009-07-31,3129.8,3203.77,3119.47,3207.85,8990351300.0,1.09749e+11,0.0319372624909
sh000046,2009-07-30,3084.78,3104.62,2998.97,3127.59,8144492600.0,97970579718.0,0.00944081477912
sh000046,2009-07-29,3269.35,3075.58,2998.54,3269.35,11666724500.0,1.34424e+11,-0.0625103447267
sh000046,2009-07-28,3249.39,3280.66,3217.94,3281.2,10897284700.0,1.34877e+11,0.00998421907835
sh000046,2009-07-27,3194.64,3248.23,3184.99,3248.81,9689661500.0,1.25617e+11,0.0192527464252
sh000046,2009-07-24,3207.86,3186.87,3120.33,3216.34,9335658700.0,1.14903e+11,-0.00248184627577
sh000046,2009-07-23,3173.26,3194.8,3162.09,3195.52,8228887500.0,1.00833e+11,0.00852231294759
sh000046,2009-07-22,3102.87,3167.8,3102.87,3168.37,8550271300.0,1.07095e+11,0.0181023353218
sh000046,2009-07-21,3182.91,3111.48,3103.08,3184.72,10162260700.0,1.23349e+11,-0.0197559311269
sh000046,2009-07-20,3115.51,3174.19,3111.76,3174.47,10531850000.0,1.28686e+11,0.0225449245893
sh000046,2009-07-17,3073.89,3104.2,3067.45,3107.78,8277845400.0,98312985513.0,0.00851889599059
sh000046,2009-07-16,3113.28,3077.98,3069.59,3119.69,9589876300.0,1.13903e+11,-0.0071406959348
sh000046,2009-07-15,3069.02,3100.12,3066.64,3104.9,10394225300.0,1.19039e+11,0.0134154757036
sh000046,2009-07-14,3010.57,3059.08,3010.57,3059.32,8101608000.0,91926464049.0,0.0188415880463
sh000046,2009-07-13,2986.95,3002.51,2980.37,3026.26,8155358200.0,93356334563.0,0.00203309621664
sh000046,2009-07-10,2984.17,2996.42,2977.89,3017.43,8517863400.0,96099423424.0,0.00539098118743
sh000046,2009-07-09,2930.81,2980.35,2926.51,2980.58,8827486800.0,97978321163.0,0.017146472808
sh000046,2009-07-08,2872.59,2930.11,2864.97,2935.54,7082440100.0,79933787014.0,0.013172490294
sh000046,2009-07-07,2900.18,2892.01,2873.27,2919.58,8517665700.0,91403480261.0,-0.0045182018892
sh000046,2009-07-06,2893.4,2905.14,2873.82,2908.64,9119672000.0,1.02051e+11,0.00570785661122
sh000046,2009-07-03,2834.31,2888.65,2824.74,2889.33,8123696200.0,93702494391.0,0.0117186555996
sh000046,2009-07-02,2835.06,2855.19,2828.58,2855.19,8027058774.0,92929307464.0,0.011258037724
sh000046,2009-07-01,2769.13,2823.41,2769.13,2823.41,6817897619.0,80723013651.0,0.0164678004495
sh000046,2009-06-30,2800.37,2777.66,2768.27,2800.37,6147054654.0,72736747589.0,-0.00489302376903
sh000046,2009-06-29,2769.06,2791.32,2768.67,2794.99,6940637736.0,75523966979.0,0.00956389395843
sh000046,2009-06-26,2758.86,2764.88,2750.69,2767.39,5802880591.0,63313010118.0,0.00422884352407
